DR Number,Date Reported,Date Occurred,Time Occurred,Area ID,Area Name,Reporting District,Crime Code,Crime Code Description,MO Codes,Victim Age,Victim Sex,Victim Descent,Premise Code,Premise Description,Weapon Used Code,Weapon Description,Status Code,Status Description,Crime Code 1,Crime Code 2,Crime Code 3,Crime Code 4,Address,Cross Street,Location,Threat,Males,Females,No Gender
130323554,11/4/2013,11/1/2013,1300,3,Southwest,361,331,THEFT FROM MOTOR VEHICLE - GRAND ($400 AND OVER),1300 0344,58,F,B,101,STREET,,,IC,Invest Cont,331,,,,3900    GIBRALTAR                    AV,,"(34.0161, -118.3547)",0,0,1,0
130213032,5/28/2013,5/25/2013,1700,2,Rampart,238,440,THEFT PLAIN - PETTY ($950 & UNDER),1202 0344,91,F,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,440,,,,1400 W  TEMPLE                       ST,,"(34.0673, -118.2566)",0,0,1,0
111707441,3/8/2011,3/8/2011,800,17,Devonshire,1762,956,"LETTERS, LEWD",1501,48,F,O,725,"GOVERNMENT FACILITY (FEDERAL,STATE, COUNTY & CITY)",,,IC,Invest Cont,956,,,,21400    PLUMMER                      AV,,"(34.2428, -118.5733)",0,0,1,0
101807536,3/5/2010,3/5/2010,630,18,Southeast,1822,626,INTIMATE PARTNER - SIMPLE ASSAULT,0411 0401 0416 0602 0913 2000,36,M,B,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,626,,,,9900 S  BROADWAY,,"(33.9465, -118.2781)",1,1,0,0
130915980,8/27/2013,8/27/2013,1640,9,Van Nuys,952,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0400 0334 0411,37,M,B,101,STREET,200,KNIFE WITH BLADE 6INCHES OR LESS,AA,Adult Arrest,230,,,,14800    BURBANK                      BL,,"(34.1721, -118.4553)",1,1,0,0
131000525,1/19/2013,1/18/2013,2340,10,West Valley,1075,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),329,,M,W,122,"VEHICLE, PASSENGER/TRUCK",,,IC,Invest Cont,745,,,,GARDEN GROVE,VENTURA,"(34.166, -118.5289)",0,1,0,0
110304368,1/6/2011,1/5/2011,2200,3,Southwest,362,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),329,45,M,B,707,GARAGE/CARPORT,,,IC,Invest Cont,745,,,,4600    COLISEUM                     ST,,"(34.017, -118.3471)",0,1,0,0
110407795,4/1/2011,3/31/2011,1730,4,Hollenbeck,463,440,THEFT PLAIN - PETTY ($950 & UNDER),344,14,M,H,109,PARK/PLAYGROUND,,,IC,Invest Cont,440,,,,4TH,SAINT LOUIS,"(34.0423, -118.2155)",0,1,0,0
101409119,3/23/2010,3/22/2010,2015,14,Pacific,1444,900,VIOLATION OF COURT ORDER,1501,42,M,W,707,GARAGE/CARPORT,,,IC,Invest Cont,900,,,,13600    MARINA POINTE                DR,,"(33.9857, -118.4435)",0,1,0,0
100520027,11/17/2010,10/30/2010,500,5,Harbor,551,210,ROBBERY,0213 0302 0344 0355 0370 0377 1309 1317,55,M,O,102,SIDEWALK,109,SEMI-AUTOMATIC PISTOL,IC,Invest Cont,210,,,,300    MIRALESTE                    DR,,"(33.7426, -118.3195)",1,1,0,0
